TITLE;AUTHORS
Estimating Curvatures and Their Derivatives on Triangle Meshes;Szymon Rusinkiewicz  
INSITE: A Tool for Real-Time Knowledge Discovery from Users Web Navigation;Cyrus Shahabi  Adil Faisal  Farnoush Banaei Kashani  Jabed Faruque
Individualised Recommendations for Learning Strategy Use;Susan Bull
EPTD DISCUSSION PAPER NO. 54 THE TIMING OF EVALUATION OF GENEBANK ACCESSIONS AND THE EFFECTS OF BIOTECHNOLOGY;Bonwoo Koo Brian D. Wright
The Firecracker Protocol;Philip Levis   David Culler
ReQuest - Validating Semantic;Searches Norman Piedade Mestre Em Inform�tica Norman Piedade De Noronha Norman Piedade De Noronha Norman Piedade De Noronha
Phoenix : a Parallel Programming Model for Accommodating Dynamically Joining Resources;Kenjiro Taura Toshio Endo  Kenji Kaneda Akinori Yonezawa
A Formal Correctness Proof for Code Generation from SSA Form in Isabelle/HOL;Jan Olaf Blech  Sabine Glesner
Bootstrapping SVM Active Learning by Incorporating Unlabelled Images for Image Retrieval;Lei Wang  Kap Luk Chan  Zhihua Zhang
A Scalable Overlay Multicast Architecture for Large-Scale Applications;Li Lao Jun-hong Cui  Mario Gerla
Routing Based Workflow for Construction of Distributed Applications*;Wanjun Huang Xinhua Zhang  Uwe Roth Christoph Meinel
Development and Complexity-Based Fitness Function Modifiers;Per Kristian Lehre Morten Hartmann
Stochastic evolution equations with fractional Brownian motion;S. Tindel C. A. Tudor F. Viens
Shape Representations and Algorithms for 3D Model Retrieval;Michael M. Kazhdan
An Implicit Surface Triangulator based on Exact Surface Curvature;Ioannis Pantazopoulos Spyros Tzafestas
Model-Based Motion Filtering for Improving Arm Gesture Recognition Performance;Greg S. Schmidt  Donald H. House
Property Rights In A Flea Market Economy;Marcel Fafchamps Bart Minten
Investigating the Mechanisms Underlying Cooperation in Viscous Population Multi-Agent Systems;James A. R. Marshall et al.
Discrete- and Continuous-Time Local Cosine Bases with Multiple Overlapping;Riccardo Bernardini  Martin Vetterli
Point-Light Biological Motion Perception Activates Human Premotor Cortex;Ayse Pinar Saygin  Stephen M. Wilson  Donald J. Hagler Jr  Elizabeth Bates  Martin I. Sereno Premotor Cortex
Turbo Detection for MIMO Systems: Bit Labeling and Pre-Coding;Stephan B�ro
Accountability and Control of Process Creation In Metasystems;Marty Humphrey Frederick Knabe Adam Ferrari Andrew Grimshaw
RTL Level Preparation of High-Quality / Low-Energy / Low-Power BIST;M. B. Santos  J. P. Teixeira J. P. Teixeira  S. Manich  R. Rodriguez  J. Figueras
Best-Path vs. Multi-Path Overlay Routing;David G. Andersen Alex C. Snoeren Hari Balakrishnan
Evaluation of a Method for Estimating Configuration Parameters in Bistatic Radars Using Directive Antennas;Xavier Neyt Fabian D. Lapierre  Jacques G. Verly
Medium Access Control with Coordinated Adaptive Sleeping for Wireless Sensor Networks;Wei Ye John Heidemann Deborah Estrin
Using speech recognition to evaluate skills in;Spoken English Rebecca Hincks
Fastest mixing Markov chain on a path;Stephen Boyd Persi Diaconis Jun Sun Lin Xiao
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
IEEE 22 Computer;Billion-Transistor Architectures There Doug Burger James R. Goodman
Intelligent Elicitation of Military Lessons;Rosina Weber  David W. Aha
Guidelines for Building a Usable Animation in Computer-Aided Presentations;Jean Vanderdonckt
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice Kazuo Miyashita
A Data-Driven Reflectance Model;Wojciech Matusik   Hanspeter Pfister Matt Brand Leonard McMillan
Linear Hash Functions;Noga Alon  Martin Dietzfelbinger Peter Bro Miltersen  Erez Petrank  G�bor Tardos
A Framework for Monitoring Program Execution;Clinton Lewis Jeffery
ASSAM: A Tool for Semi-Automatically Annotating Semantic Web Services;Andreas He� Eddie Johnston Nicholas Kushmerick
A Note on Parameter Values of REM with Reno-like Algorithms;Sanjeewa Athuraliya Networking Sanjeewa Athuraliya
Proceedings of the 2001 Winter Simulation Conference;Peters Smith Medeiros Sanjeewa Athuraliya
FAST TCP: Motivation Architecture Algorithms Performance;C. Jin  D. X. Wei  S. H. Low
A Case for Variable-Range Transmission Power;Control In Wireless Javier Gomez
Multi-Classifier Framework for Atlas-Based Image Segmentation;Torsten Rohlfing Calvin R. Maurer  Jr.
 Using Philosophy to Improve the Coherence and Interoperability of Applications Ontologies: A Field Report on the Collaboration of IFOMIS and LC;Jonathan Simon Barry Smith
An Approach to Extracting the Target Text Line from a Document Image Captured by a Pen Scanner;Zhen-Long Bai Qiang Huo
Efficient Multiscale Sampling from Products Of Gaussian Mixtures;Alexander Ihler Er T. Ihler  Erik Sudderth  William Freeman  Alan Willsky
Reliability-aware IBGP Route Reflection Topology Design;Li Xiao Jun Wang Klara Nahrstedt
A Simple Combinatorial Proof of Duality of Multiroute Flows and Cuts;Amitabha Bagchi Amitabh Chaudhary Petr Kolman  Jiri Sgall
Enhanced Dominant Pruning Applied to the Route Discovery Process of On-demand Routing Protocols;Marco Aurelio Spohn  J.J. Garcia Luna-Aceves
The Use of Functional and Logic Languages;In Machine Learning Peter A. Flach
Cross-Lingual Validation of Multilingual Wordnets;Dan Tufis Radu Radu Ion Eduard Barbu Verginica Barbu
Unsupervised Non Stationary Image Segmentation Using Triplet Markov Chains;Pierre Lanchantin Wojciech Pieczynski
Generalized Quotient Image;Haitao Wang Stan Haitao Wang Stan Z. Li Yangsheng Wang
 Towards automated proofs of observational properties;Narjes Berregeb Riadh Robbana Ashish Tiwari
Adaptability Aspects: An Architectural Pattern for Structuring Adaptive Applications with Aspects;Ayla Dantas Paulo Borba
H.264/AVC Video Transmission over MBMS in GERAN;Hrvoje Jenkac Thomas Stockhammer  Guenther Liebl
ConQuer-92: Revised report on the conceptual query language LISA-D;H.A. Proper
Semantic Information Portals;Dave Reynolds  Paul Shabajee  Steve Cayzer
Routing with Improved Communication-Space Trade-Off;Ittai Abraham Cyril Gavoille Dahlia Malkhi
A Riemannian Framework for Tensor Computing;Xavier Pennec Pierre Fillard Nicholas Ayache
Effectiveness of Dynamic Resource Allocation for Handling Internet Flash Crowds;Abhishek Chandra Prashant Shenoy
Proceedings of the 1998 Winter Simulation Conference;Medeiros Watson Carson D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan
SiGe Prototype Chip Design Implementing CMOS Fixed Bit-Load Drivers and Receivers;For Next Generation Jason D. Bakos Amit Gupta Leo Salavo Donald Chiarulli
A Novel Protocol for Cooperative Diversity in Wireless Networks;Ernesto Zimmermann  Patrick Herhold Gerhard Fettweis
Trajectory Based Forwarding and Its Applications;Dragos Niculescu Badri Nath
The Optimal Group Size In Computer Mediated;Communica Ti On
Performance Analysis of TDMA MAC Schemes for Ad-Hoc Networks with Topology Control;Konstantinos Oikonomou Nikos Pronios Ioannis Stavrakakis Senior Member
Dynamic Resource Allocation for Shared Data Centers Using Online Measurements;Abhishek Chandra Weibo Gong Prashant Shenoy
Modelling and Performance Evaluation of Optical Burst Switched Networks with Deflection Routing and Wavelength Reservation;Andrew Zalesky  Hai Le Vu Zvi Rosberg  Eric W. M. Wong Moshe Zukerman Arc Special
Manipulating Temporal Dependencies In Compressed Video Data With Applications To Compressed-Domain Processing Of MPEG Video;Susie J. Wee
Comparing Strength of Locality of Reference - Popularity majorization and some folk theorems;Sarut Vanichpun  Armand M. Makowski
The Role of Planning in Grid Computing;Jim Blythe Ewa Deelman  Yolanda Gil Carl Kesselman Amit Agarwal Gaurang Mehta Karan Vahi
 Capacity of Rayleigh Fading Channels under Different Adaptive Transmission and . . . ;Mohamed-Slim Alouini Andrea J. Goldsmith
Modeling the Impact of Device and Pipeline Scaling on the Soft Error Rate of Processor Elements;Premkishore Shivakumar  Stephen W. Keckler Doug Burger  Michael Kistler Lorenzo Alvisi
SCULPTEUR: Multimedia Retrieval for Museums;Simon Goodall Paul H. Lewis Kirk Martinez Patrick A. S. Sinclair  Fabrizio Giorgini Matthew J. Addis Mike J. Boniface  Christian Lahanier  James Stevenson
Segmentation of Vessels: The Corkscrew Algorithm;Stefan Wesarg Evelyn A. Firle
Linear Combiners for Classifier Fusion: Some Theoretical and Experimental Results;Giorgio Fumera Fabio Roli
Diagnosis as Semiring-based Constraint Optimization;Martin Sachenbacher   Brian Williams
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice David Bauer Garrett Yaun Christopher D. Carothers
Observations of the Marinov Motor;Thomas E. Phipps  Jr.
On the Feasibility of Peer-to-Peer Web Indexing and Search;Jinyang Li   Boon Thau Loo  Joseph M. Hellerstein M. Frans Kaashoek et al.
An Automatic Weighting Scheme for Collaborative Filtering;Rong Jin  Joyce Y. Chai  Luo Si
Spatial Fluctuation of the;Hubble Constant Jean-Claude Jean-claude Pecker Jean-pierre Vigier Toivo Jaakkola
Effectiveness of Keyword-Based Display and Selection;Of Retrieval Results Ezio Berenci Claudio Carpineto Vittorio Giannini Stefano Mizzaro
On the Benefit of Tunability in Reducing Electronic Port Counts in WDM/TDM Networks;Randall Berry Eytan Modiano
EPTD DISCUSSION PAPER NO. 39 TECHNOLOGICAL CHANGE TECHNICAL AND ALLOCATIVE EFFICIENCY IN CHINESE AGRICULTURE: THE CASE OF RICE PRODUCTION IN JIANGSU;Shenggen Fan
An open distributed measurement system based on abstract client-server architecture;O Pianegiani David Macii Paolo Carbone F. Pianegiani D. Macii P. Carbone
A Parallel Implementation of the Nonsymmetric QR Algorithm for Distributed Memory Architectures;Greg Henry David Watkins Jack Dongarra
On Robust Monetary Policy with Structural Uncertainty - Discussion of John C. Williams Robust Estimation and Monetary Policy with Unobserved Structural Change;See Hansen Francis X . Diebold
Towards Perceptually Realistic Talking Heads: Models Methods and;Mcgurk Darren Cosker Darren Cosker Susan Paddock David Marshall Paul L. Rosin
DNA-mediated artificial nanobiostructures: state of the art and future directions;R. Bashir
Distributed STDMA in Ad Hoc Networks;Jimmi Gr�nkvist
The 1998 Floods in Bangladesh - Disaster Impacts Household Coping Strategies and Response;Carlo Del Ninno Paul A. Dorosh Lisa C. Smith Dilip K. Roy Figures Ix
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
MCMC data association algorithm applied to the French Over-The-Horizon Radar Nostradamus;David Bourgeois Christ�le Morisseau Marc Fl�cheux
A Study Case of Opportunistic Multihop;Communication Using Mobile
XML to Manage Source Engineering in Object-Oriented Development: an Example;Daniel Deveaux  Yves Le Traon Universit� De Bretagne Sud
Weakly Useful Sequences;Stephen A. Fenner   Jack H. Lutz Elvira Mayordomo Patrick Reardon
Heuristic-Based Backtracking for Propositional Satisfiability;A. Bhalla I. Lynce  J.T. de Sousa  J. Marques-Silva
Implementing Agent-based Web Services;Jonathan Dale  Luigi Ceccaroni  Zou  Y. y Agam  A.
Reading Errors Made By Skilled and Unskilled Readers: Evaluating a System That Generates Reports for People With Poor Literacy;Sandra Williams Ehud Reiter
Fundamental Protocols for Wireless Sensor Networks;Raghuvel S. Bhuvaneswaran Jacir L. Bordim Jiangtao Cui Koji Nakano
The Role of Concept Management in System Development - A practical and a theoretical perspective;A. I. Bleeker H. A. Proper  S.J.B.A. Hoppenbrouwers
Stratified Rough Sets And Vagueness;Thomas Bittner John G. Stell
Methods for the Semantic Analysis of Document Markup;Petra Saskia Bayerl Harald L�ngen Daniela Goecke Andreas Witt Universit�t Bielefeld
Practical Mobile Robot Self-Localization;Jon Howell   Bruce Randall Donald
Extending Content-based Publish/Subscribe Systems with Multicast Support;Viktor S. Wold Eide Frank Eliassen Olav Lysne Ole-christoffer Granmo
Automatically Finding Good Clusters with Seed K-Means;Miyoung Shin  Eun Mi Kang  Seon Hee Park Kang Seon Hee Park
Real-World Problems of PKI Hierarchy;Daniel Cvrcek
Eur. Phys. J. B 35 117--123 (2003);Doi Epjb The R. V. Sol� A
A Scalable Solution for Integrating Illustrated Parts Drawings into a Class IV;Interactive Electronic Technical Molly L. Boose David B. Shema Lawrence S. Baum
On the Relationship between Linear Programming Decoding and Min-Sum Algorithm Decoding;Pascal Vontobel  Ralf Koetter
A Neuro-Fuzzy Approach as Medical Diagnostic Interface;R. Brause  F. Friedrich
Representation and Reasoning for DAML-Based Policy and Domain Services in KAoS and Nomads;J. Bradshaw A. Uszok  R. Jeffers N. Suri  P. Hayes M. Burstein A. Acquisti  B. Benyo  M. Breedy M. Carvalho  D. Diller M. Johnson  S. S. Kulkarni J. Lott M. Sierhuis R. Van Hoof
Direct Anisotropic Quad-Dominant Remeshing;Martin Marinov Leif
Retiming Sequential Circuits for Low Power;Jose Monteiro Srinivas Jos� Monteiro Srinivas Devadas
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice
Combination of Type III Digit Recognizers using the Dempster-Shafer Theory of;Evidence Catalin Tomai Catalin I. Tomai Sargur N. Srihari
Balanced Multiwavelets Theory and Design;J�r�me Lebrun Martin Vetterli
Tobias Scheer Universit de Nice;What Final Empty Tobias Scheer Universit� De Nice
Context Sensitive Anomaly Monitoring of Process Control Flow To Detect Mimicry Attacks and Impossible Paths;Haizhi Xu  Wenliang Du Steve J. Chapin
Managing Intervals Efficiently in Object-Relational Databases;Hans-Peter Kriegel   Marco P�tke Thomas Seidl
Machine Learning in Computer Chess: Genetic Programmig and KRK;David Gleich
Providing Multidatabase Access -- an Association Approach;Paolo Missier   Marek Rusinkiewicz Avi Silberschatz  
Constrained Coverage for Mobile Sensor Networks;Sameera Poduri Gaurav S. Sukhatme
Autonomous Characters in Virtual Environments: The technologies involved in artificial life and their affects of perceived intelligence and playability of computer games;Oliver Edward Wood
DGMonitor: a Performance Monitoring Tool for Sandbox-based Desktop Grid Platforms;P. Cicotti M. Taufer A. Chien
Cycle-true simulation of the ST10 microcontroller including the core and the;Peripherals Lovic Gauthier Lovic Gauthier Ahmed Amine Jerraya
Proceedings of the 2002 Winter Simulation Conference;E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
Towards context awareness using Symbol Clustering Map  ;J. Himberg J. A. Flanagan J. M�ntyj�rvi
Vascular Atlas Formation Using a Vessel-to-Image Affine Registration Method;Dini Chillet Julien Jomier Derek Cool Stephen R. Aylward
Experiments With;Electronic Examinations Over Blaine Price Marian Petre Linda Carswell Mike Richards Pete Thomas Pete Thomas
Leveraging the Multi in Secure Multi-Party Computation;Jaideep Vaidya Chris Clifton
Coupled Signature and Specification Matching for Automatic Service Binding;Michael Klein Birgitta K�nig-Ries
Down With the Bureaucracy of Syntax!;Pattern Matching For
Construction of Genetic Network Using Evolutionary Algorithm and Combined Fitness Function;Ando Shin Hitoshi Iba
Departement Informationstechnologie Elektrotechnik;Professur Fur Technische Departement Informationstechnologie Professur F�r Technische Informatik Professor Dr Bernhard Plattner Nicolas Cedraschi D-itet Daniel Grob D-itet Prof Dr B. Plattner Daniel Grob Nicolas Cedraschi
Super-Distributed RFID Tag Infrastructures;Juergen Bohn Friedemann Mattern
Departmentof Computer Science;University Of Aarhus Niels Olof Bouvin Ann Christina Nielsen Christian Mulvad Sejersen
Enterprise Security Aspects;Ron Bodkin New
Heterozygote Advantage Fails to Explain the High Degree of . . .;Rob J. De Boer  Michiel van Boven  Franz J. Weissing  Can Kesmir  Jose A. M. Borghans F. J. Weissing
C. Roy Keys Inc.;Comment On The Vladimir Onoochin
LOMAC: Low Water-Mark Integrity Protection for COTS Environments;Timothy Fraser
Fir Filter Design Using Low Power Arithmetic Operators;Eduardo Costa  Sergio Bampi Jos� Monteiro
Bipartite Graphs as Intermediate Model for RDF;Jonathan Hayes  Claudio Gutierrez
On validation of XML streams using finite state machines;Cristiana Chitic Daniela Rosu
Summarization of Spacecraft Telemetry Data by Extracting Significant Temporal Patterns;Takehisa Yairi  Shiro Ogasawara Koichi Hori Shinichi Nakasuka Naoki Ishihama
Teachers Instructional Perspectives And Use Of Educational Software;Dale S. Niederhauser Trish Stoddart
Efficient Management of Multi-Linked Negotiation Based on a Formalized Model;Xiaoqin Zhang Department Xiaoqin Zhang Victor Lesser Sherief Abdallah
Endurants and Perdurants in Directly Depicting Ontologies;Thomas Bittner Maureen Donnelly Barry Smith 
All in-Focus View Synthesis from Under-Sampled Light Fields;Keita Takahashi  Akira Kubota Takeshi Naemura Takeshi Naemura
Quality of Service for the Last Mile;Murali Mohan Madav Murali Mohan Madav Shankar Rangaprabhu Parthasarathy Surendranath Ramasubbu
Medical Video Mining for Efficient Database Indexing Management and Access;Xingquan Zhu  Walid G. Aref  Jianping Fan  Ann C. Catlin  Ahmed K. Elmagarmid 
Instant and Incremental Transformation of Models;Sven Johann Alexander Alexander Egyed
Balancing spectra between different speaking styles;Gunilla C. Thunberg
Adaptive Data Partitioning Using Probability Distribution;Xipeng Shen Yutao Zhong Chen Ding
Routing And Data Compression in . . . ;Anna Scaglione
FCND DP No. 114 FCND DISCUSSION PAPER NO. 114 DISTRIBUTION GROWTH AND PERFORMANCE OF MICROFINANCE INSTITUTIONS IN AFRICA ASIA AND LATIN AMERICA;C�cile Lapenu Manfred Zeller
Inferring 3D Structure with a;Statistical Image-Based Shape Kristen Grauman Gregory Shakhnarovich Trevor Darrell
General Mechanics of a Photon in the Gravitational Field of a Stationary Homogeneous Spherical Body;Howusu Department Of S. X. K. Howusu
Proceedings of the 1998 Winter Simulation Conference;Medeiros Watson Carson D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan
FCND DISCUSSION PAPER NO. 76 RAISING PRIMARY SCHOOL ENROLMENT IN DEVELOPMENT COUNTRIES: THE RELATIVE IMPORTANCE OF SUPPLY AND DEMAND;Sudhanshu Handa
User-Centric Analysis of Perceived QoS in 4G IP;Mobile Wireless Networks C Gran Capit� F. Bader C. Pinart C. Christophi E. Tsiakkouri I. Ganchev V. Friderikos C. Bohoris L. Correia L. Ferreira
On Blind Equalization of Rank Deficient Nonlinear Channels;Roberto Lopez-Valcarce  Soura Dasgupta
Principles of Distributed Test Synthesis based on True-Concurrency Models;Claude Jard
Proceedings of the 2001 Winter Simulation Conference;Peters Smith Medeiros B. A. Peters J. S. Smith D. J. Medeiros M. W. Rohrer
Operator Patterns for Analysis of Composite Events in Timed Automata;Annmarie Ericsson Robert
Multilingual Website Usability: Cultural Context;Mathew Hillier
Autonomous Characters in Virtual Environments: The technologies involved in artificial life and their affects of perceived intelligence and playability of computer games;Oliver Edward Wood
Component-Based Approach for Embedded Systems;Ivica Crnkovic
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes Is It Only A Special Case Of Software Testing
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes Corn� Versteegt Alexander Verbraeck
Livestock Intensification and Smallholders: A Rapid Reconnaissance of the . . .;Agnes Rola Walfredo Rola Marites Tiongco Christopher Delgado
The Case Study of Application of Advanced Gesture Interface and Mapping;Interface Virtual Musical Suguru Goto
Blind Signal Separation In Noisy Environments Using A Three-Step Quantizer;Heinz Mathis  Marcel Joho
FCND DP No. 89 FCND DISCUSSION PAPER NO. 89 THE ROLE OF THE STATE IN PROMOTING MICROFINANCE INSTITUTIONS;C�cile Lapenu
A Platform for Secure Mobile Agents;Johan Arthursson Jakob Engblom  Ing-Marie Jonsson Rehan Mirza Gustaf Naeser Mikael Olsson Robert Ottenhag  Dan Sahlin Maria Schmid  Bertil Spolander Elham Zolfonoon Ericsson Telecom
Generating And E-Mailing;Feedback To Students Philip Denton Philip Denton L Af
Digit Classification on Signboards for Telephone Number Recognition;Takuma Yamaguchi   Yasuaki Nakano Minoru Maruyama Hidetoshi Miyao Toshihiro Hananoi
Delay Budget Partitioning to Maximize Network Resource Usage Efficiency;Kartik Gopalan Tzi-cker Chiueh  Yow-Jian Lin
3D-TV - The Future of Visual Entertainment;M. Magnor Mpi Informatik
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice
Integrating Handhelds into Environments of Cooperating Smart Everyday Objects;Frank Siegemund  Tobias Krauer
Why Computational Science and Engineering Should be of Interest to Computer Scientists;Lasse Natvig Group Lasse Natvig
 Coupling Information Retrieval and Information Extraction: A New Text Technology for Gathering Information from the Web ;Robert Gaizauskas Alexander M. Robertson
Towards a Data Consistency Modeling and Testing Framework for MOF Defined Languages;Jan Pettersen Nytun  Christian S. Jensen Vladimir A. Oleshchuk
Intl. Conf. RIVF04;February Hanoi Vietnam Minh-quang Vu Laurent Besacier Eric Castelli Brigitte Bigi Herv� Blanchon
Mobile Music Making;Atau Tanaka Sony
Designs for Ramp-Constrained Day-Ahead Auctions;Shmuel Oren Ieor Shmuel S. Oren Ieor Dept
In Proc. Int. Symp. on Microarchitecture pages 271278 Nov.95 Ann Arbor MI.;Ieee Personal Use Lucas Roh Walid A. Najjar
Predicting Users Requests on the WWW;I. Zukerman D. W. Albrecht A. E. Nicholson
Melodic Similarity: Looking for a Good Abstraction Level;Maarten Grachten  Josep-Lluis Arcos  Ramon Lopez de Mantaras
A Formulation of the Gravitational Equation of Motion;T. Chang
A Class of Stochastic Programs with Decision Dependent Uncertainty  ;Vikas Goel Ignacio E. Grossmann
An Overview of Classifier Fusion Methods;Dymitr Ruta  Bogdan Gabrys
An Analysis of Web Services Workflow Patterns in Collaxa;Martin Vasko Schahram Dustdar
FCNDP No. 167;Fcnd Discussion Paper Rasmus Heltberg Kenneth Simler Finn Tarp
Drawing Graphs on Two and Three Lines;Sabine Cornelsen Thomas Schank Dorothea Wagner
Proceedings of the 1998 Winter Simulation Conference;Medeiros Watson Carson
Proceedings of the 1998 Winter Simulation Conference;Medeiros Watson Carson D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan
Establishing a Mobile Conference Call under Delay and Bandwidth Constraints;Amotz Bar-noy  Zohar Naor
CONTENTS;Berkeley Calif University Daniel G. Maxwell
Towards Quantum Template Matching;Daniel Curtis David A. Meyer
Distributed Scheduling of Recording Tasks with Interconnected Servers;Sergios Soursos George D. Stamoulis Theodoros Bozios
Methodology for Reliable Schema Development and Evaluation of Manual Annotations;Petra S. Bayerl  Harald L�ngen Ulrike Gut  Karsten I. Paul
The Meaning and Role of Value in Scheduling Flexible Real-Time Systems;A. Burns  D. Prasad  A. Bondavalli  F. Di Giandomenico  K. Ramamritham  J. Stankovic  L. Strigini
Performance Evaluation by Simulation;Helmut Hlavacs  Christoph W. Ueberhuber
Scrap Your Boilerplate: A Practical Design Pattern for Generic Programming;Ralf L�mmel Simon Peyton Jones
On the Interaction between Data Aggregation and Topology Control in Wireless Sensor Networks;Vijay Erramilli  Ibrahim Matta  Azer Bestavros
Proceedings Of Iscas Geneva 2000;Monte Carlo Analysis
First Workshop on;Productivity And Performance Program Chair Ram Rajamony John Grosh Osd
Fast Panoramic Stereo Matching Using Cylindrical and Maximum Surfaces;Changming Sun Shmuel Peleg
Semantic Annotation of Image Collections;Laura Hollink Guus Schreiber  Jan Wielemaker Bob Wielinga
The Minimum Manhattan Network Problem - A Fast Factor-3 Approximation;Marc Benkert  Florian Widmann  Alexander Wolff Er Wolff
Performance Monitoring of Service Level Agreements for Utility Computing using the Event Calculus;Andrew D.H. Farrell Andrew D H Farrell  David Trastour David Trastour Athena Christodoulou Athena Christodoulou
Apparent Super-luminal Jets as a Test of Special Relativity;Curt Renshaw President
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
Proceedings of the 2002 Winter Simulation Conference;Ycesan Chen Snowdon E. Y�cesan C. -h. Chen J. L. Snowdon J. M. Charnes
Algebraic and Model Theoretic Techniques for Fusion Decidability in Modal Logics;Silvio Ghilardi Luigi Santocanale Universit� Studi Di Milano Universit� Bordeaux
Artificial Intelligence Labs OntoText Lab. Bulgaria.;Final Report Dieter Dieter Fensel Frank Van Harmelen Ying Ding Michel Klein Peter Mika Hans Akkermans Jeen Broekstra Arjohn Kampman Jos Van Der Meer Thorsten Lau Ulrich Reimer Ian Horrocks Schweizerische Lebensversicherungs- Und Contact Person R. Studer
Developing a Practical Programming by Demonstration Tool;Gordon W. Paynter   Ian H. Witten
The Journal of Experimental Biology 205 1253�1263 (2002) Printed in Great Britain � The Company of Biologists Limited 2002;Mpf Swimming Is Keith E. Korsmeyer John Fleng Steffensen Jannik Herskin
Michelson-Morley Experiments Revisited and . . . ;Reginald T. Cahill Kirsty Kitto
Geographic Random Forwarding with Hybrid-ARQ for Ad Hoc Networks with Rapid Sleep Cycles;Bin Zhao  Rohit Iyer Seshadri Matthew C. Valenti Harbinger). Like Geraf Harbinger Assumes That
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice Charles Mclean Guodong Shao
Putting MAIDs in Context;Mark Crowley Department
Model checking SPKI/SDSI;S. Jha T. Reps
1. Introduction From algorithms to generative grammar and back again;John Goldsmith
User Expertise Modelling and Adaptivity in a Speech-based E-mail System;Kristiina Jokinen  Kari Kanto H�meentie C
Bodily Sensations as an Obstacle for Representationism;Ned Block Nyu Ned Block
Strategies for Simulating Poverty- . . . ;Steven Haggblade Peter Hazell Thomas Reardon
Speaking and Acting -- Interacting Language and Action;For An Expressive Y Louchart Daniela Romano Ruth Aylett Jonathan Pickering
Symbolic Negotiation with Linear Logic;Peep Kungas And Peep K�ngas Mihhail Matskin
A Procedure For High Reproducible . . .;Emilia Nunzi Paolo Carbone Dario Petri
Bumper Crops Producer Incentives and Persistent Poverty: Implications for;Paul Dorosh Paul Dorosh Quazi Shahabuddin Quazi Shahabuddin M. Abdul Aziz M. Abdul Aziz Naser Farid Naser Farid Contact Candice Cohen Contact Candice Cohen
Process Group Management in Cross-Layer Adaptation;Wanghong Yuan Klara Nahrstedt
A Comparative Assessment of Peer-to-Peer and Server-Based Configuration Management System;Carlo Bellettini Lorenzo Capra  Mattia Monga
Bridging Router Performance and Queuing Theory;Hohn Veitch Department N. Hohn D. Veitch C. Diot
The Translation Power of the Futamura Projections;Robert Gl�ck
Pattern Recognition 33 (2000) 1919}1925;Mrf Parameter Estimation Lei Wang Jun Liu Stan Z. Li
Exercises 131 The dynamic semantics is given by the following transition rules:;Unbox Box Unbox
An Efficient Image Reconstruction Algorithm For A;Multiple Hydrophone Array P. T. Gough M. P. Hayes D. R. Wilkinson
Displaying Aggregate Data Interrelated Quantities and Data Trends in Electric;Power Systems Ray Ray Klump
Content-Based Retrieval of Technical Drawings;Manuel J. Fonseca Alfredo Ferreira Joaquim A. Jorge
Agreement-Based Interactions for Experimental;Science Katarzyna Keahey Katarzyna Keahey Takuya Araki Peter Lane
A Distributed Content-Based Search Engine Based on Mobile Code;Volker Roth  Ulrich Pinsdorf  Jan Peters
Seasonal Undernutrition in Rural Ethiopia Magnitude Correlates and Functional Significance;In Rur Al Anna Ferro-luzzi Saul S. Morris Samson Taffesse Tsegaye Demissie
A Simple Algorithm for Topic Identification in 0-1 Data;Jouni K. Sepp�nen Ella Bingham Heikki Mannila
Calcul De Routages Equitables Dans Les REseaux Internet; Nhat Linh Doan et al.
Proceedings of the 1998 Winter Simulation Conference;Medeiros Watson Carson Deborah L. Heflin Charles R. Harrell
Accurate Minkowski Sum Approximation of Polyhedral Models;Gokul Varadhan Dinesh Manocha Brake Hub Rod Brake Hub Rod Bunny Bunny Offset
