TITLE,AUTHORS,YEAR,DESCRIPTION,ID,SUBJECT,PUBLISHER
Visualization in Resource Allocation Tasks,Pearl Pu George George Melissargos,1997,This paper presents an application of information visualization techniques in the resource re-allocation domain and in particular flight rescheduling. In collaboration with Swissair our work concentrates on human-computer problem solving and how visualization techniques can help users perceive the entire solution space in four abstraction models in order to make the right decision. We present a technique called coordinated visualization,10.1.1.1.2056,?,?
Efficient Integration of Behavioral Synthesis within Existing Design Flows,Cesrio Sugar Moussa W. O. Cesário Z. Sugar I. Moussa A. A. Jerraya,?,This paper analyzes the reasons why behavioral synthesis was never widely accepted by designers and then we propose a practical solution to this problem. The main breakthrough of this new approach is the redefinition of the synthesis flow at the behavioral level to better profit from the powerful of RTL and FSM synthesis tools. The effectiveness of this new methodology is illustrated with two large design examples: a 2-million-transistor ATM shaper design and a motion estimator for a video codec (H261 standard).,10.1.1.1.2057,?,?
Input Modeling Techniques For Discrete-Event Simulations,Lawrence Leemis,2001,Most discrete-event simulation models have stochastic elements that mimic the probabilistic nature of the system under consideration. A close match between the input model and the true underlying probabilistic mechanism associated with the system is required for successful input modeling. The general question considered here is how to model an element (e.g. arrival process service times) in a discrete-event simulation given a data set collected on the element of interest. For brevity it is assumed that data is available on the aspect of the simulation of interest. It is also assumed that raw data is available as opposed to censored data grouped data or summary statistics. This example-driven tutorial examines introductory techniques for input modeling. Most simulation texts (e.g. Law and Kelton 2000) have a broader treatment of input modeling than presented here. Nelson and Yamnitsky (1998) survey advanced techniques.,10.1.1.1.2058,?,Piscataway
Property P for Knots admitting Certain Gabai Disks,Oliver T. Dasbach Tao Li,?,We show that if a knot has a minimal spanning surface that admits certain Gabai  disks then this knot has Property P. As one of the applications we extend and simplify  a recent result of Menasco and Zhang that closed 3-braid knots have Property P. Other  applications are given.,10.1.1.1.2059,?,?
Automatic Generation Including Fast Timed Simulation Models of Operating Systems in Multiprocessor SoC Communication Design,Sungjoo Yoo Gabriela Nicolescu Lovic Gauthier Ahmed A. Jerraya,2002,To enable fast and accurate evaluation of HW/SW implementation choices of on-chip communication we present a method to automatically generate timed OS simulation models. The method generates the OS simulation models with the simulation environment  as a virtual processor. Since the generated OS simulation models use real OS code the presented method can mitigate the OS code equivalence problem. The generated model also simulates different types of processor exceptions. This approach provides two orders of magnitude higher simulation speedup compared to the simulation using instruction set simulators for SW simulation.,10.1.1.1.2060,?,?
Optimization Of Multiclass Queueing Networks  with Changeover Times via the Achievable Region Approach:  Part I  The Single-station Case,Dimitris Bertsimas José Niño-Mora,1999,?,10.1.1.1.2063,?,?
A Generalized Maximum Entropy Approach to Bregman Co-clustering and Matrix Approximation,Arindam Banerjee Inderjit Dhillon Joydeep Ghosh Srujana Merugu  Dharmendra S. Modha,2004,Co-clustering is a powerful data mining technique with varied applications such as text clustering microarray analysis and recommender systems. Recently an informationtheoretic co-clustering approach applicable to empirical joint probability distributions was proposed. In many situations co-clustering of more general matrices is desired. In this paper we present a substantially generalized co-clustering framework wherein any Bregman divergence can be used in the objective function and various conditional expectation based constraints can be considered based on the statistics that need to be preserved. Analysis of the coclustering problem leads to the minimum Bregman information principle which generalizes the maximum entropy principle and yields an elegant meta algorithm that is guaranteed to achieve local optimality. Our methodology yields new algorithms and also encompasses several previously known  clustering and co-clustering algorithms based on alternate minimization.,10.1.1.1.2064,Categories and Subject Descriptors I.2.6 [Artificial Intelligence Learning General Terms Algorithms Keywords Co-clustering Matrix Approximation Bregman,?
Active Authorization as High-level Control,Daniel Cvrcek,2000,The paper introduces several issues that have one common target - secure cooperation of autonomous information systems. We show that Active authorization model may be an abstract layer that allows simple efficient and secure management of heterogeneous systems security properties.,10.1.1.1.2065,?,?
Data Cleaning Methods,William Winkler,2003,Data Cleaning methods are used for finding duplicates within a  file or across sets of files. This overview provides background on  the Fellegi-Sunter model of record linkage. The Fellegi-Sunter  model provides an optimal theoretical classification rule. Fellegi  and Sunter introduced methods for automatically estimating   optimal parameters without training data that we extend to many  real world situations.   Keywords   EM Algorithm string comparator unsupervised learning.   1. ,10.1.1.1.2066,string comparator unsupervised learning,?
Beacon Vector Routing: Scalable Point-to-Point in Wireless Sensornets,Rodrigo Fonseca Rodrigo Fonseca Sylvia Ratnasamy Sylvia Ratnasamy  David Culler David Culler  Scott Shenker Scott Shenker Ion Stoica Ion Stoica,2004,This paper proposes a practical and scalable technique for point-to-point routing in wireless sensornets. This method called Beacon Vector Routing (BVR) assigns coordinates to nodes based on the vector of distances (hop count) to a small set of beacons and then defines a distance metric on these coordinates. Packets are routed greedily being forwarded to the next hop that is the closest (according to this beacon vector distance metric) to the destination. This approach is evaluated through both simulation and a prototype implementation on motes.,10.1.1.1.2067,?,?
Communicative Aspects of Human-Robot Interaction,Thora Tenbrink,2001,How do we communicate wirh robots?... This paper will outline some basic aspects of what characterizes human-robot interaction in contrast to other kinds of interaction such as communication with children or foreigners. Here the robots looks -- humanoid or not -- will not play a major role. The question at hand is rather whether or to what degree humans expect a robot to behave linguistically like a human being...,10.1.1.1.2068,?,?
Collapse-to-Zoom: Viewing Web Pages on Small Screen Devices by Interactively Removing Irrelevant Content,Patrick Baudisch Xing Xie Chong Wang Wei-ying Ma,2004,Overview visualizations for small-screen web browsers were designed to provide users with visual context and to allow them to rapidly zoom in on tiles of relevant content. Given that content in the overview is reduced however users are often unable to tell which tiles hold the relevant material which can force them to adopt a time-consuming hunt-and-peck strategy. Collapse-to-zoom addresses this issue by offering an alternative exploration strategy. In addition to allowing users to zoom into relevant areas collapse -to-zoom allows users to collapse areas deemed irrelevant such as columns containing menus archive material or advertising. Collapsing content causes all remaining content to expand in size causing it to reveal more detail which increases the users chance of identifying relevant content. Collapse-to-zoom navigation is based on a hybrid between a marquee selection tool and a marking menu called marquee menu. It offers four commands for collapsing content areas at different granularities and to switch to a full-size reading view of what is left of the page.,10.1.1.1.2069,screen device PDA pen overview fisheye zooming,?
Proceedings of the 2002 Winter Simulation Conference,Ycesan Chen Snowdon E. Yücesan C. -h. Chen J. L. Snowdon J. M. Charnes Thomas J. Schriber,?,This paper provides simulation practitioners and consumers with a grounding in how discrete-event simulation software works. Topics include discrete-event systems entities resources control elements and operations simulation runs entity states entity lists and entity-list management. The implementation of these generic ideas in AutoMod SLX and Extend is described. The paper concludes with several examples of why it matters for modelers to know how their simulation software works including coverage of SIMAN (Arena) ProModel and GPSS/H as well as the other three tools.,10.1.1.1.2071,?,?
Proceedings of the 2002 Winter Simulation Conference,Ycesan Chen Snowdon E. Yücesan C. -h. Chen J. L. Snowdon J. M. Charnes Jui-hua Li Joanne Holliday,?,This paper presents a methodology of decision-making for embedded I/O buffer sizes in a single-bus shared-memory system. The decision is made with the aid of a queuing model simulation and the proposed algorithm. The generalized queueing model is simulated to cover two cases: independent processing units and pipelined processing units in a shared-memory environment. The objective is to obtain the best performance with the optimized embedded buffers in the system. Therefore an algorithm is developed to find the optimal solution efficiently by exploring the correlation between buffers and system performance. The local optimum is guaranteed. The method can be widely applied to many applications.,10.1.1.1.2072,?,?
A Routing Scheme for Content-Based Networking,Antonio Carzaniga   Matthew J. Rutherford Alexander L. Wolf,2004,This paper proposes a routing scheme for contentbased networking. A content-based network is a communication network that features a new advanced communication model where messages are not given explicit destination addresses and where the destinations of a message are determined by matching the content of the message against selection predicates declared by nodes. Routing in a content-based network amounts to propagating predicates and the necessary topological information in order to maintain loop-free and possibly minimal forwarding paths for messages. The routing scheme we propose uses a combination of a traditional broadcast protocol and a contentbased routing protocol. We present the combined scheme and its requirements over the broadcast protocol. We then detail the content-based routing protocol highlighting a set of optimization heuristics. We also present the results of our evaluation showing that this routing scheme is effective and scalable.,10.1.1.1.2073,?,?
Grounding Knowledge of Engineering Applications in Systematic Terms,Ying Liu  Jin Yu,2004,In the main research of internet-computing enabled knowledge management we use some of the most advanced research scenarios arguing that we critically need a system approach to question where knowledge comes from. In particular within a given engineering domain we synthesis the problems and reveal that the knowledge is embraced by interactions among systems system observers observables engineering objects and instruments that the complex system interactions must be dispatched into infrastructural layers based on physicsontologies that the ontologies must be dedicated to human and data communications. Such a synthesis would impact on knowledge technologies for solving engineering problems in scalabilities as well as in collective vocabularies that must associate with the communication crossing the layers in the problem solving environment.,10.1.1.1.2074,?,?
Photon Mapping on Programmable Graphics Hardware,Timothy J. Purcell Craig Donner Mike Cammarano Henrik Wann Jensen Pat Hanrahan,2003,We present a modified photon mapping algorithm capable of running entirely on GPUs. Our implementation uses  breadth-first photon tracing to distribute photons using the GPU. The photons are stored in a grid-based photon  map that is constructed directly on the graphics hardware using one of two methods: the first method is a multipass  technique that uses fragment programs to directly sort the photons into a compact grid. The second method uses  a single rendering pass combining a vertex program and the stencil buffer to route photons to their respective  grid cells producing an approximate photon map. We also present an efficient method for locating the nearest  photons in the grid which makes it possible to compute an estimate of the radiance at any surface location in the  scene. Finally we describe a breadth-first stochastic ray tracer that uses the photon map to simulate full global  illumination directly on the graphics hardware. Our implementation demonstrates that current graphics hardware  is capable of fully simulating global illumination with progressive interactive feedback to the user.,10.1.1.1.2075,Programmable Graphics Hardware Global Illumination Photon Mapping,?
Solar: Building a Context Fusion Network for Pervasive Computing,Guanling Chen,2004,  The complexity of developing context-aware pervasive-computing applications calls for distributed software infrastructures that assist applications to collect aggregate and disseminate contextual data. In this dissertation we present a Context Fusion Network (CFN) called Solar which is built with a scalable and self-organized service overlay. Solar is flexible and allows applications to select distributed data sources and compose them with customized data-fusion operators into a directed acyclic information flow graph. Such a graph represents how an application computes high-level understandings of its execution context from low-level sensory data. To manage application-specified operators on a set of overlay nodes called Planets Solar provides several unique services such as application-level multicast with policy-driven data reduction to handle buffer overflow context-sensitive resource discovery to handle environment dynamics and proactive monitoring and recovery to handle common failures. Experimental results show that these services perform well on a typical DHT-based peer-to-peer routing substrate. In this dissertation we also discuss experience insights and lessons learned from our quantitative analysis of the input sensors a detailed case study of a Solar application and development of other applications in different domains.,10.1.1.1.2076,?,?
The Effects of Partial Observability in SLAM,Juan Andrade-Cetto  Alberto Sanfeliu,2004,In this article we show that partial observability hinders full reconstructibility of the state space in SLAM making the final map estimate dependent on the initial observations and not guaranteeing convergence to a positive semi-definite covariance matrix. By characterizing the form of the total Fisher information we are able to determine the unobservable state space directions. To overcome this problem we formulate new fully observable measurement models that make SLAM stable.,10.1.1.1.2077,?,?
On Low Bit-Rate Coding Using the Contourlet Transform,Ramin Eslami Hayder Radha,2003,In this work we study and analyze the contourlet transform for low bit-rate image coding. This image-based geometrical transform has been recently introduced to efficiently represent images with a spars set of coefficients. In order to explore the potentiality of this new transform as a tool for image coding we developed a direct coding scheme that is based on using non-linear approximation of images. We code the quantized transform coefficients as well as the significance map of an image in the contourlet transform domain. Based on the proposed approach we analyzed the rate-distortion curves for a set of images and concluded that this coding approach despite its redundancy is visually competitive with a direct wavelet transform coder and in particular it is visually superior to wavelet coding for images with textures and oscillatory patterns.,10.1.1.1.2078,?,?
On the Nature of the Redshift in the Standard Model of Cosmology,V. S. Troitsky,2001,Introduction  It is shown in the present paper that the standard model of cosmology owing to its mathematical structure is actually basedontheconcept of a variation of light velocity with time due to whichthe redshift is observed. First we recall the fundamental statements of the standard cosmology.  The generally accepted Big Bang cosmology is based on the space-time metric:  d d d d d s c t a t r f r o  2 2 2 2 2 2 2 2 2    q q j sin (1)  Here a(t) is the radius of the Universe or otherwise the  scale dimension of space defined by the solution of the  Einstein gravity equation j q are the angular coordinates  of galaxies and r is the relative constant radial  coordinate. To simplify the expression we shall consider  the case of plane space for which f(r) =  r. In this case  themetric distance up to galaxies detectedbythe station-  ary length standard will be according to (1)R(t)=a(t)r.  This signifies that the Universe is a sphere of radiusa(t)  filled with galaxies th,10.1.1.1.2079,?,?
Proceedings of the 2003 Winter Simulation Conference,Chick Snchez Ferrin S. Chick P. J. Sánchez D. Ferrin D. J. Morrice Tim Baines Linda Hadfield Steve Mason,?,Discrete Event Simulation of manufacturing systems has become widely accepted as an important tool to aid the design of such systems. Often however it is applied by practitioners in a manner which largely ignores an important element of industry namely the workforce. Workers are usually represented as simple resources often with deterministic performance values. This approach ignores the potentially large effect that human performance variation can have on a system. A long-term data collection exercise is described with the aim of quantifying the performance variation of workers in a typical automotive assembly plant. The data are presented in a histogram form which is immediately usable in simulations to improve the accuracy of design assessment. The results show levels of skewness and range which are far larger than anticipated by current researchers and practitioners in the field.,10.1.1.1.2080,?,?
Protocol Behavior: More Effort More Gains?,Mamatas And Tsaoussidis,2004,We investigate the behavior of TCP(##) protocols in the presence of wireless networks. We seek an answer to strategic issues of maximizing energy and bandwidth exploitation without damaging the dynamics of multipleflow equilibrium. Our perspective is novel indeed: What is the return of the effort that a protocol expends? Can we achieve more gains with less effort? We study first the design assumptions of TCP(##) protocols and discuss the impact of equation-based modulation of # and # on protocol efficiency. We introduce two new metrics to capture protocol behavior: The Extra Energy Expenditure and the Unexploited Available Resource Index. We confirm experimentally that in general smoothness and responsiveness constitute a tradeoff,10.1.1.1.2081,?,?
Automatic Classification of Audio Data,Carlos H. L. Costa  Jaime D. Valle Jr.  Alessandro L. Koerich Ro L. Koerich,2004,In this paper a novel content--based musical genre classification approach that uses combination of classifiers is proposed. First musical surface features and beat-- related features are extracted from different segments of digital music in MP3 format. Three 15--dimensional feature vectors are extracted from three different parts of a music clip and three different classifiers are trained with such feature vectors. At the classification mode the outputs provided by the individual classifiers are combined using a majority vote rule. Experimental results show that the proposed approach that combines the output of the classifiers achieves higher correct musical genre classification rate than using single feature vectors and single classifiers.,10.1.1.1.2082,Audio classification musical genre classification information fusion classifier,?
Faster Deterministic Broadcasting in ad hoc Radio Networks,Dariusz R. Kowalski Andrzej Pelc,2003,We consider radio networks modeled as directed graphs. In  ad hoc radio networks every node knows only its own label and a linear  bound on the size of the network but is unaware of the topology of the  network or even of its own neighborhood. The fastest currently known  deterministic broadcasting algorithm working for arbitrary n-node ad  hoc radio networks has running time O(n log    n). Our main result is a  broadcasting algorithm working in time O(n log n log D) for arbitrary n-  node ad hoc radio networks of eccentricity D. The best currently known  lower bound on broadcasting time in ad hoc radio networks  is    hence our algorithm is the  rst to shrink the gap between bounds on  broadcasting time in radio networks of arbitrary eccentricity to a logarithmic  factor. We also show a broadcasting algorithm working in time  O(n log D) for complete layered n-node ad hoc radio networks of eccentricity   D. The latter complexity is optimal.,10.1.1.1.2083,?,Springer-Verlag
EPTD DISCUSSION PAPER NO. 91 WHY TVES HAVE CONTRIBUTED TO INTERREGIONAL IMBALANCES IN CHINA,Junichi Ito,?,The major objectives of this paper are to shed some light on the mechanism that generates interregional economic imbalances among communities in rural China. Central to this issue is the development of township and village enterprises (TVEs) because the presence of secondary industry is closely associated with the economic welfare of the people residing in rural communities. In rural Jiangsu for example spatial disparities have become more pronounced over the past two decades. This fact suggests that the influence of initial conditions---historical and geographical advantages of industrial frontrunners---has not been erased but rather continues to persist. This is attributed to a variety of factors including the less efficient use of TVE resources in poor areas the decentralized fiscal system and agglomeration economies. In short the socialist regime of self-reliance that still lingers in Chinas rural society traps less advanced areas in poverty. KEYWORDS: economic imbalance rural China past-dependency institution allocation efficiency agglomeration economies ii  ACKNOWLEDGMENTS The author acknowledges the general assistance of staff from the Chinese Academy of Agricultural Sciences Jiangsu Academy of Social Sciences Nanjing Agricultural University and Policy Research Institute (MAFF Japan) and financial support from the Government of Japan. The author is grateful for helpful comments from Katsuji Nakagane Zongshun Bao Hao Hu Funing Zhong Peter Hazell and other participants at various seminars. iii  TABLE OF CONTENTS 1. ,10.1.1.1.2084,TABLE OF CONTENTS,?
The Architecture of Complex Systems,Vito Latora Massimo Marchiori,2002,INTRODUCTION  At the present time the most commonly accepted definition of a complex system is that of a system containing many interdependent constituents which interact nonlinearly    . Therefore when we want to model a complex system the first issue has to do with the connectivity properties of its network the architecture of the wirings between the constituents. In fact we have recently learned that the network structure can be as important as the nonlinear interactions between elements and an accurate description of the coupling architecture and a characterization of the structural properties of the network can be of fundamental importance also to understand the dynamics of the system.  The definition may seem somewhat fuzzy and generic: this is an indication that the notion of a complex system is still not precisely delineated and di#ers from author to author. On the other side there is complete agreement that the ideal complex systems are the biological ones especially,10.1.1.1.2085,?,?
ESPRIT Project 20716,Generic Upgradable Architecture David Powell Christophe Rabéjac Andrea Bondavalli,1977,Contents  1. Notation and definitions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 2. Heuristics for a-counts. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 2 3. Interactive consistency . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6 3.1 Consolidation of a-counts . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 6 3.2 Consolidation of binary accusations . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 8 4. Diagnosis. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9  5. Acknowledgements . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 10 6. References,10.1.1.1.2086,?,?
The Spatial Distribution of Poverty in Vietnam and the Potential for Targeting,N. Minot  B. Baulch Contact Candice Cohen Contact Candice Cohen,2002,This paper combines household survey and census data to construct a provincial poverty map of Vietnam and evaluate the accuracy of geographically targeted anti-poverty programs. First the paper estimates per capita expenditure as a function of selected household and geographic characteristics using the 1998 Vietnam Living Standards Survey. Next these results are combined with data on the same household characteristics from the 1999 Census to estimate the incidence of poverty in each province. The results indicate that rural poverty is concentrated in ten provinces in the Northern Uplands two provinces of the central Highlands and two provinces in the Central Coast. Finally Receiver Operating Characteristics curves are used to evaluate the effectiveness of geographic targeting. The results show that the existing poor communes system excludes large numbers of poor people but there is potential to sharpen poverty targeting using a small number of easy-to-measure household characteristics.,10.1.1.1.2087,?,?
An Autonomous Spacecraft Agent Prototype,Barney Pell  Douglas E. Bernard  Steve A. Chien  Erann Gat Nicola Muscettola  P. Pandurang Nayak Michael D. Wagner  Brian C. Williams,1997,This paper describes the New Millennium Remote  Agent #NMRA# architecture for autonomous spacecraft  control systems. This architecture integrates traditional  real-time monitoring and control with constraintbased  planning and scheduling robust multi-threaded  execution and model-based diagnosis and recon#guration.,10.1.1.1.2088,?,ACM Press
Fully Automatic Cross-Associations,Deepayan Chakrabarti Spiros Spiros Papadimitriou Dharmendra S. Modha Christos Faloutsos,2004,Large sparse binary matrices arise in numerous data mining applications such as the analysis of market baskets web graphs social networks co-citations as well as information retrieval collaborative filtering sparse matrix reordering etc. Virtually all popular methods for the analysis of such matrices---e.g. k-means clustering METIS graph partitioning SVD/PCA and frequent itemset mining---require the user to specify various parameters such as the number of clusters number of principal components number of partitions and support. Choosing suitable values for such parameters is a challenging problem.,10.1.1.1.2089,?,ACM Press
Word Association Thesaurus,As Resource For Anna Sinopalnikova,2004,The goal of the present paper is to report on the on-going research for  applying psycholinguistic resources to building a WordNet-like lexicon of the Russian  language. We are to survey different kinds of the linguistic data that can be extracted  from a Word Association Thesaurus a resource representing the results of a largescaled  free association test. In addition we will give a comparison of Word Association  Thesaurus and other language resources applied to wordnet constructing (e.g. text  corpora explanatory dictionaries) from the viewpoint of the quality and quantity of  information they supply the researcher with.,10.1.1.1.2091,?,?
Twin Primes Conjecture 95,Two-Sided Error Ufd Victor Shoup,2005,solving linear congruences  integer 19  polynomial 358  Sophie Germain prime 94  splitting field 364  square root (modular) 275  algorithm for computing  284  square-free  integer 12  polynomial 431  square-free decomposition  algorithm 457 467  standard basis 298  statistical distance 125  Stein C. 273  Stein J. 74  Strassen V. 55 258 289  strict polynomial time 142  subalgebra 347  subfield 212  subgroup 177  generated by 194  submodule 293  generated (or spanned) by  294  subring 211  subspace 300  surjective 2  theta function of Chebyshev 77  total degree 221 222  trace 440  transcendental element 363  transpose 310  trial division 236  trivial ring 206  Pomerance C. 55 96 258 259  344 345 482  de la Vallee Poussin C.-J. 95 96  power map 186  pre-image 2  pre-period 72  prefix free 143  primality test  deterministic 471  probabilistic 236  prime  ideal 226  in an integral domain 371  number 5  prime number theorem,10.1.1.1.2092,?,Cambridge University Press
An Architecture for Mobile Distributed Application Delivery with Soft Real-time Constraints,Joel Jones Susan Vrbsky Jingyuan Zhang  Sibrabrata Ray,?,The power of ubiquitous computing lies not just in constant access but also in tailoring of information based upon location. In this paper we describe an architecture that supports tailoring of information and applications for their environment. This environment includes the mobile client device its location the available bandwidth and any soft real-time constraints.,10.1.1.1.2093,?,?
Motivation to e-Learn within organizational settings: What,Is It And Maria Alex Ra Rentroia-bonito Joaquim Arm O Pires Jorge,?,e-Learning is expected to support organizations in being more adaptable  and competitive and individuals in becoming or staying more employable.,10.1.1.1.2094,?,?
Forthcoming in Proceedings of Medinfo. San Francisco 7-11 September 2004,Actions In Health Lowell Vizenor,1403,In order to ensure that the information and knowledge needed for the management of healthcare is appropriately shared human behavior within health care organizations (HCOs) needs to be carefully analyzed. Hence guidelines protocols and messaging standards must be combined with models of resources and processes of patient care that are based on a sound ontology of organizations. This requires a general theory of the ontology of social institutions. Among the many groups attempting to develop efficient ways of sharing information across healthcare systems and organizations is Health Level 7 (HL7). Here I address the question whether HL7 reflects a sound analysis of behavior within HCOs on the basis of a sound ontology of organizations. I then apply ontological principles designed to show how the Reference Information Model (RIM) might be modified in such a way as to support efficient communication of medical information within and between healthcare organizations.,10.1.1.1.2095,Ontology Speech Acts HL7 RIM Electronic Health Record,?
Practical Partition-Based Theorem Proving for Large Knowledge Bases,Bill Maccartney Sheila Mcilraith,2003,Query answering over commonsense knowledge  bases typically employs a first-order logic theorem  prover. While first-order inference is intractable  in general provers can often be hand-tuned to answer  queries with reasonable performance in practice.,10.1.1.1.2096,?,?
Evaluating Adaptive Signal Control Using Corsim,Charlie Stallard  Larry E. Owen D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan,1998,This paper discusses the evaluation of adaptive traffic signal control using TSIS/CORSIM. The paper reviews three adaptive control strategies that have been developed through contracts awarded by the FHWAs TurnerFairbank IST (Intelligent Systems and Technology) Division. The paper discusses the framework and evaluation procedures for testing and assessing these advanced control algorithms before they are deployed in the field. The paper also discusses sophisticated hardware in the loop experiments that permit the benefits of other ITS concepts and technologies to be assessed and quantified.,10.1.1.1.2097,?,?
Trying Again to Fail-First,J. Christopher Beck Patrick Prosser Richard J. Wallace,2005,In ECAI 1998 Smith  Grant performed a study [1] of the fail-first  principle of Haralick  Elliott [2]. The fail-first principle states that To succeed  try first where you are most likely to fail. For constraint satisfaction problems  (CSPs) Haralick  Elliott realized this principle by minimizing branch depth.,10.1.1.1.2098,?,Springer
Analyzing Library Collections With Starfield Visualizations,J. Alfredo Sánchez  Michael B. Twidale David M. Nichols  Nabani N. Silva J. Alfredo Sánchez A Michael B. Twidale B David M. Nichols C Nabani N. Silva A,2004,This paper presents a qualitative and formative study of the uses of a starfield-based visualization interface for analysis of library collections. The evaluation process has produced feedback that suggests ways to significantly improve starfield interfaces and the interaction process to improve their learnability and usability. The study also gave us clear indication of additional potential uses of starfield visualizations that can be exploited by further functionality and interface development. We report on resulting implications for the design and use of starfield visualizations that will impact their graphical interface features their use for managing data quality and their potential for various forms of visual data mining. Although the current implementation and analysis focuses on the collection of a physical library the most important contributions of our work will be in digital libraries in which volume complexity and dynamism of collections are increasing dramatically and tools are needed for visualization and analysis.,10.1.1.1.2099,Collections starfields large information spaces libraries,?
Automated Composition of Semantic Web Services into Executable Processes,P. Traverso  M. Pistore,2004,Different planning techniques have been proposed so far which address the problem of automated composition of web services. However in realistic cases the planning problem is far from trivial: the planner needs to deal with the nondeterministic behaviour of web services the partial observability of their internal status and with complex goals e.g. expressing temporal conditions and preference requirements. We propose...,10.1.1.1.2100,?,Springer-Verlag
Target Localization Based on Energy Considerations in Distributed Sensor Networks,Yi Zou  Krishnendu Chakrabarty,2003,Wireless distributed sensor networks (DSNs) are important for a number of strategic applications such as coordinated target detection surveillance and localization. Energy is a critical resource in wireless sensor networks and system lifetime needs to be prolonged through the use of energyconscious sensing strategies during system operation. We propose an energy-aware target detection and localization strategy for cluster-based wireless sensor networks. The proposed method is based on an a posteriori algorithm with a two-step communication protocol between the cluster head and the sensors within the cluster. Based on a limited amount of data received from the sensor nodes the cluster head executes a localization procedure to determine the subset of sensors that must be queried for detailed target information. This approach reduces both energy consumption and communication bandwidth requirements and prolongs the lifetime of the wireless sensor network. Simulation results show that a large amount of energy is saved during target localization using this strategy.,10.1.1.1.2101,?,?
Genome Informatics 14: 408--409 (2003) Detection of Tissue Specific Genes by Putative,Regulatory Motifs In Katsuhiko Murakami Toshio Kojima Yoshiyuki Sakaki,?,Introduction  Gene expression of multi-cellular organisms is regulated by transcription factors (TFs) that interact with regulatory cis-elements on DNA sequences. To find the functional regulatory elements computer searching can predict TF binding sites (TFBS) using position weight matrices (PWMs) that represent positional base frequencies of collected experimentally determined TFBS. However it is still di#cult to tell authentic sites from false positives. Reports have shown that particular TFBS are concentrated in promoters though a general tendency is uncertain. Computational approaches to reveal structure of promoter as combination of TFBS are required. Here we have examined the correlation between predicted TFBS and promoters and identified two PWM groups 1) PWMs whose TFBS are clustered in promoters mainly by the existence of CpG islands (CGI) 2) PWMs whose TFBS are clustered in promoter independent of CGI. As an application of the groups we show that tissue specific genes ,10.1.1.1.2102,promoter tissue-specific gene expression position weight matrix regulatory motif CpG,?
Achieving Design Closure through Delay Relaxation Parameter,Ankur Srivastava  Seda Ogrenci Memik  Bo-Kyung Choi Memik Bo-kyung  Majid Sarrafzadeh,2003,Current design automation methodologies are becoming incapable of achieving design closure especially in the presence of deep submicron effects. This paper addresses the issue of design closure from a high level point of view. A new metric called delay relaxation parameter (DRP) for RTL (Register Transfer Level) designs is proposed. DRP essentially captures the degree of delay relaxation that the design can tolerate without violating the clock constraint. This metric when optimized results in quicker design flow. Algorithms to optimize DRP are formulated and their optimality are investigated. Experimental results are conducted using a state of the art design flow with Synopsys Design Compiler followed by Cadence Place and Route. Our approach of optimizing DRP resulted in lesser design iterations and faster design closure as compared to designs generated through Synopsys Behavioral Compiler and a representative academic design flow.,10.1.1.1.2103,?,?
Profiles for the Situated Web,L. Suryanarayana  Johan Hjelm Odolwkd#wul Vef Frp,2002,The World Wide Web is evolving into a medium that will soon make it possible for conceiving and implementing situation-aware services. A situation-aware or situated web application is one that renders the user with an experience (content interaction and presentation) that is so tailored to his/ her current situation. This requires the facts and opinions regarding the context to be communicated to the server by means of a profile which is then applied against the description of the application objects at the server in order to generate the required experience. This paper discusses a profiles view of the situated web architecture and analyzes the key technologies and capabilities that enable them. We conclude that trusted frameworks wherein rich vocabularies describing users and their context applications and documents along with rules for processing them are critical elements of such architectures.,10.1.1.1.2104,General Terms Design Standardization Languages. Keywords Situated-aware applications web architecture profiles vocabulary XML CC/PP,?
PatManQL: A language to manipulate patterns and data in hierarchical catalogs,Panagiotis Bouros  Theodore Dalamagas  Timos Sellis Manolis Terrovitis,2004,Hierarchical structures and catalogs is a way to organize and enrich semantically the available information in the Web. From simple tree-like structures with syntactic constraints and type information like DTDs and XML schemas to hierarchies on a category/subcategory basis like thematic hierarchies and RDF(s) models such structures group data under certain properties. Paths in these structures are the knowledge artifacts to represent such groups. Considering paths in hierarchies as patterns which provide a conceptual clustering of data in groups sharing common properties we present   a language to manipulate patterns and data in hierarchical catalogs. 1 ,10.1.1.1.2105,?,?
